,p_prism,aet_ssebop,aet_modis,pet_modis,tc_sm,dmet_swe,swe_lrm,Sres,qout_km3
2009-10-31,0.11677391767818149,0.457551,0.04299236238149321,0.12415931350907972,0.0897775416910306,0.00020837310634949736,0.0,0.14271856992,0.001733200196198401
2009-11-30,0.046659729307602385,0.168568,0.03431434816114332,0.12233585345625166,0.08500064588900393,0.0009260815358979809,0.0,0.1383841212,0.0014858028840959998
2009-12-31,0.22905381343802567,0.05091,0.021741557464319078,0.04728979557111585,0.23561336058819768,0.03625174018143768,1.975528008820489,0.14093865828,0.0060058437672960005
2010-01-31,0.2624396647536347,0.100757,0.0262777711778659,0.058565611079488676,0.3829946457742557,0.13360818856072385,3.6907884050449358,0.12636755904,0.026150424348672006
2010-02-28,0.1696316956090718,0.19411799999999999,0.032045092578703194,0.06892389763968151,0.40055676269347146,0.14045901129997784,4.632757768493378,0.12368967396,0.03220177434624
2010-03-31,0.17817166456065314,0.692288,0.05412551389903549,0.13212067522932436,0.40589564623691304,0.15257744008470828,4.638330175701195,0.12903927672,0.04979262357504
2010-04-30,0.23571279035703932,1.0261099999999999,0.06600721969234942,0.14206570119937914,0.4150279470349052,0.18446246879988848,3.321556952037034,0.13913407704,0.07224481041408
2010-05-31,0.1476049153126162,1.9915379999999998,0.10157724083166475,0.24114453415531573,0.34730842419440944,0.18968494757959964,1.5203960963103915,0.13531768992,0.08062431787008001
2010-06-30,0.0035137099383649594,2.547622,0.12598216330170592,0.3602005145489265,0.20582801029320785,0.15107409114798953,0.0,0.15360403092,0.046245094871040004
2010-07-31,0.00016321823326296566,2.2724979999999997,0.09062669769953577,0.4007304836366673,0.1250422724648157,0.09050296731178757,0.0,0.16172526324,0.006028596882431999
2010-08-31,0.0001708875668037598,1.7904639999999998,0.0693413559628816,0.3503703577115332,0.09272797733345883,0.04453041211954391,0.0,0.16197689316,0.0014973017702400004
2010-09-30,0.00032348876989776737,1.2332269999999999,0.0615317715570961,0.25421965887779785,0.07446337573747451,0.020174710930974137,0.0,0.1336228884,0.000898870376448
2010-10-31,0.2385162699154034,0.22358,0.041118976153904405,0.11889917100366622,0.13291010084462435,0.006747827258490495,0.0,0.14560861356,0.005140051037798401
2010-11-30,0.25018985861941484,0.22364399999999998,0.035381238137775654,0.09360175965045636,0.3072667976185977,0.03204624346033707,0.9292511215296869,0.13807698468,0.011912846045184002
2010-12-31,0.4697781260869508,0.063125,0.027412806102891013,0.04614612751879569,0.414044468487429,0.08572888848017494,3.0275890672870736,0.129453726,0.1376685794304
2011-01-31,0.09448067583743287,0.12440899999999999,0.037771887813924016,0.09109484265485676,0.4167139102591499,0.006363832815463442,3.5492820931505413,0.12968315328,0.07471095450623999
